"","LEND","PLBT","BCPT","SALT","VIB","ICOS","CFI","KICK","BNT","BNB","COB","B2B","FUN","WILD","NXC","RLC","RHOC","EVX","PAY","EDO","CTR","HMQ","DENT","TIME","SPF","ARC","SNOV","STORJ","ADX","DCN","TAAS","QAU","NIO","STEEM","LUN","WABI"
"LEND",1,0.65,0.61,0.73,0.56,0.54,0.6,0.53,0.71,0.77,0.32,0.21,0.78,0.26,0.66,0.09,0.67,0.73,0.73,0.72,0.76,0.63,0.7,0.35,0.42,0.54,0.44,0.76,0.69,0.67,0.62,0.53,0.4,0.57,0.67,0.76
"PLBT",0.65,1,0.53,0.65,0.47,0.46,0.55,0.42,0.65,0.66,0.22,0.4,0.67,0.21,0.6,0.1,0.48,0.64,0.65,0.68,0.62,0.59,0.55,0.44,0.37,0.48,0.34,0.64,0.56,0.58,0.62,0.51,0.35,0.62,0.49,0.7
"BCPT",0.61,0.53,1,0.53,0.5,0.37,0.44,0.45,0.56,0.56,0.25,0.19,0.58,0.22,0.48,0.22,0.5,0.62,0.58,0.64,0.6,0.45,0.52,0.38,0.23,0.35,0.35,0.61,0.55,0.47,0.45,0.42,0.32,0.49,0.41,0.56
"SALT",0.73,0.65,0.53,1,0.62,0.46,0.65,0.59,0.76,0.74,0.37,0.33,0.73,0.34,0.71,0.22,0.65,0.63,0.74,0.72,0.72,0.73,0.6,0.37,0.42,0.46,0.45,0.69,0.64,0.51,0.61,0.49,0.48,0.69,0.65,0.85
"VIB",0.56,0.47,0.5,0.62,1,0.24,0.61,0.49,0.77,0.59,0.26,0.17,0.63,0.24,0.59,0.24,0.68,0.61,0.74,0.67,0.61,0.68,0.56,0.34,0.37,0.38,0.5,0.64,0.56,0.47,0.51,0.52,0.42,0.59,0.63,0.58
"ICOS",0.54,0.46,0.37,0.46,0.24,1,0.56,0.47,0.53,0.57,0.32,0.13,0.51,0.18,0.55,0.21,0.42,0.5,0.55,0.55,0.49,0.45,0.4,0.34,0.28,0.43,0.1,0.57,0.46,0.39,0.5,0.35,0.34,0.49,0.4,0.44
"CFI",0.6,0.55,0.44,0.65,0.61,0.56,1,0.67,0.72,0.66,0.34,0.28,0.74,0.18,0.74,0.23,0.5,0.65,0.69,0.77,0.71,0.76,0.48,0.33,0.4,0.54,0.17,0.79,0.66,0.49,0.62,0.47,0.22,0.64,0.56,0.65
"KICK",0.53,0.42,0.45,0.59,0.49,0.47,0.67,1,0.68,0.79,0.42,0.2,0.63,0.26,0.68,0.36,0.5,0.53,0.61,0.64,0.69,0.56,0.39,0.39,0.35,0.47,0.22,0.69,0.56,0.36,0.54,0.49,0.24,0.56,0.52,0.52
"BNT",0.71,0.65,0.56,0.76,0.77,0.53,0.72,0.68,1,0.77,0.37,0.27,0.77,0.33,0.78,0.37,0.74,0.76,0.86,0.82,0.75,0.8,0.54,0.45,0.48,0.46,0.42,0.78,0.71,0.54,0.68,0.63,0.45,0.83,0.67,0.74
"BNB",0.77,0.66,0.56,0.74,0.59,0.57,0.66,0.79,0.77,1,0.39,0.24,0.73,0.35,0.73,0.26,0.64,0.66,0.78,0.77,0.8,0.62,0.59,0.48,0.35,0.53,0.4,0.74,0.63,0.52,0.69,0.57,0.37,0.66,0.65,0.77
"COB",0.32,0.22,0.25,0.37,0.26,0.32,0.34,0.42,0.37,0.39,1,0.13,0.34,0.1,0.51,0.28,0.35,0.43,0.24,0.42,0.37,0.28,0.23,0.18,0.3,0.43,0.08,0.43,0.42,0.31,0.25,0.31,0.26,0.38,0.3,0.27
"B2B",0.21,0.4,0.19,0.33,0.17,0.13,0.28,0.2,0.27,0.24,0.13,1,0.21,0.22,0.26,0.11,0.25,0.4,0.27,0.28,0.19,0.29,0.23,0.15,0.07,0.04,0.09,0.25,0.49,0.07,0.23,0.21,0.09,0.39,0.19,0.24
"FUN",0.78,0.67,0.58,0.73,0.63,0.51,0.74,0.63,0.77,0.73,0.34,0.21,1,0.3,0.73,0.21,0.58,0.72,0.72,0.73,0.81,0.79,0.64,0.41,0.38,0.66,0.37,0.77,0.72,0.58,0.66,0.62,0.38,0.67,0.63,0.72
"WILD",0.26,0.21,0.22,0.34,0.24,0.18,0.18,0.26,0.33,0.35,0.1,0.22,0.3,1,0.26,-0.09,0.31,0.2,0.24,0.27,0.33,0.29,0.17,0.27,0.07,0.08,0.04,0.26,0.22,0.12,0.13,0.21,0.29,0.35,0.21,0.25
"NXC",0.66,0.6,0.48,0.71,0.59,0.55,0.74,0.68,0.78,0.73,0.51,0.26,0.73,0.26,1,0.35,0.58,0.64,0.8,0.77,0.75,0.72,0.43,0.43,0.58,0.5,0.37,0.81,0.73,0.53,0.75,0.47,0.35,0.71,0.58,0.66
"RLC",0.09,0.1,0.22,0.22,0.24,0.21,0.23,0.36,0.37,0.26,0.28,0.11,0.21,-0.09,0.35,1,0.33,0.23,0.27,0.27,0.25,0.24,-0.07,0.09,0.16,0.16,0.19,0.22,0.24,-0.11,0.23,0.27,0.02,0.39,0.24,0.13
"RHOC",0.67,0.48,0.5,0.65,0.68,0.42,0.5,0.5,0.74,0.64,0.35,0.25,0.58,0.31,0.58,0.33,1,0.63,0.7,0.68,0.55,0.6,0.59,0.39,0.31,0.34,0.44,0.55,0.52,0.51,0.48,0.6,0.44,0.63,0.51,0.61
"EVX",0.73,0.64,0.62,0.63,0.61,0.5,0.65,0.53,0.76,0.66,0.43,0.4,0.72,0.2,0.64,0.23,0.63,1,0.69,0.69,0.63,0.66,0.56,0.42,0.35,0.52,0.25,0.77,0.75,0.58,0.53,0.59,0.32,0.65,0.56,0.57
"PAY",0.73,0.65,0.58,0.74,0.74,0.55,0.69,0.61,0.86,0.78,0.24,0.27,0.72,0.24,0.8,0.27,0.7,0.69,1,0.79,0.72,0.74,0.56,0.48,0.48,0.49,0.43,0.78,0.71,0.55,0.74,0.53,0.4,0.77,0.63,0.76
"EDO",0.72,0.68,0.64,0.72,0.67,0.55,0.77,0.64,0.82,0.77,0.42,0.28,0.73,0.27,0.77,0.27,0.68,0.69,0.79,1,0.73,0.73,0.61,0.48,0.5,0.49,0.38,0.76,0.67,0.55,0.73,0.6,0.39,0.75,0.63,0.76
"CTR",0.76,0.62,0.6,0.72,0.61,0.49,0.71,0.69,0.75,0.8,0.37,0.19,0.81,0.33,0.75,0.25,0.55,0.63,0.72,0.73,1,0.73,0.51,0.43,0.44,0.51,0.38,0.8,0.7,0.52,0.6,0.5,0.4,0.66,0.62,0.73
"HMQ",0.63,0.59,0.45,0.73,0.68,0.45,0.76,0.56,0.8,0.62,0.28,0.29,0.79,0.29,0.72,0.24,0.6,0.66,0.74,0.73,0.73,1,0.56,0.33,0.42,0.5,0.35,0.68,0.66,0.48,0.64,0.55,0.44,0.67,0.54,0.65
"DENT",0.7,0.55,0.52,0.6,0.56,0.4,0.48,0.39,0.54,0.59,0.23,0.23,0.64,0.17,0.43,-0.07,0.59,0.56,0.56,0.61,0.51,0.56,1,0.31,0.24,0.5,0.38,0.51,0.51,0.65,0.43,0.59,0.46,0.49,0.54,0.64
"TIME",0.35,0.44,0.38,0.37,0.34,0.34,0.33,0.39,0.45,0.48,0.18,0.15,0.41,0.27,0.43,0.09,0.39,0.42,0.48,0.48,0.43,0.33,0.31,1,0.15,0.21,0.13,0.44,0.3,0.32,0.41,0.34,0.35,0.42,0.36,0.4
"SPF",0.42,0.37,0.23,0.42,0.37,0.28,0.4,0.35,0.48,0.35,0.3,0.07,0.38,0.07,0.58,0.16,0.31,0.35,0.48,0.5,0.44,0.42,0.24,0.15,1,0.42,0.24,0.42,0.41,0.55,0.45,0.24,0.37,0.47,0.36,0.38
"ARC",0.54,0.48,0.35,0.46,0.38,0.43,0.54,0.47,0.46,0.53,0.43,0.04,0.66,0.08,0.5,0.16,0.34,0.52,0.49,0.49,0.51,0.5,0.5,0.21,0.42,1,0.14,0.63,0.49,0.56,0.47,0.44,0.29,0.48,0.39,0.46
"SNOV",0.44,0.34,0.35,0.45,0.5,0.1,0.17,0.22,0.42,0.4,0.08,0.09,0.37,0.04,0.37,0.19,0.44,0.25,0.43,0.38,0.38,0.35,0.38,0.13,0.24,0.14,1,0.34,0.35,0.24,0.37,0.36,0.28,0.32,0.35,0.43
"STORJ",0.76,0.64,0.61,0.69,0.64,0.57,0.79,0.69,0.78,0.74,0.43,0.25,0.77,0.26,0.81,0.22,0.55,0.77,0.78,0.76,0.8,0.68,0.51,0.44,0.42,0.63,0.34,1,0.75,0.6,0.72,0.51,0.35,0.72,0.59,0.67
"ADX",0.69,0.56,0.55,0.64,0.56,0.46,0.66,0.56,0.71,0.63,0.42,0.49,0.72,0.22,0.73,0.24,0.52,0.75,0.71,0.67,0.7,0.66,0.51,0.3,0.41,0.49,0.35,0.75,1,0.42,0.65,0.52,0.35,0.71,0.58,0.62
"DCN",0.67,0.58,0.47,0.51,0.47,0.39,0.49,0.36,0.54,0.52,0.31,0.07,0.58,0.12,0.53,-0.11,0.51,0.58,0.55,0.55,0.52,0.48,0.65,0.32,0.55,0.56,0.24,0.6,0.42,1,0.5,0.38,0.3,0.53,0.47,0.57
"TAAS",0.62,0.62,0.45,0.61,0.51,0.5,0.62,0.54,0.68,0.69,0.25,0.23,0.66,0.13,0.75,0.23,0.48,0.53,0.74,0.73,0.6,0.64,0.43,0.41,0.45,0.47,0.37,0.72,0.65,0.5,1,0.45,0.29,0.68,0.59,0.68
"QAU",0.53,0.51,0.42,0.49,0.52,0.35,0.47,0.49,0.63,0.57,0.31,0.21,0.62,0.21,0.47,0.27,0.6,0.59,0.53,0.6,0.5,0.55,0.59,0.34,0.24,0.44,0.36,0.51,0.52,0.38,0.45,1,0.44,0.53,0.43,0.47
"NIO",0.4,0.35,0.32,0.48,0.42,0.34,0.22,0.24,0.45,0.37,0.26,0.09,0.38,0.29,0.35,0.02,0.44,0.32,0.4,0.39,0.4,0.44,0.46,0.35,0.37,0.29,0.28,0.35,0.35,0.3,0.29,0.44,1,0.4,0.31,0.4
"STEEM",0.57,0.62,0.49,0.69,0.59,0.49,0.64,0.56,0.83,0.66,0.38,0.39,0.67,0.35,0.71,0.39,0.63,0.65,0.77,0.75,0.66,0.67,0.49,0.42,0.47,0.48,0.32,0.72,0.71,0.53,0.68,0.53,0.4,1,0.57,0.63
"LUN",0.67,0.49,0.41,0.65,0.63,0.4,0.56,0.52,0.67,0.65,0.3,0.19,0.63,0.21,0.58,0.24,0.51,0.56,0.63,0.63,0.62,0.54,0.54,0.36,0.36,0.39,0.35,0.59,0.58,0.47,0.59,0.43,0.31,0.57,1,0.65
