"","V1"
"LEND",0.1203
"PLBT",0.1174
"BCPT",0.1479
"SALT",0.0923
"VIB",0.1294
"ICOS",0.1296
"CFI",0.1058
"KICK",0.0952
"BNT",0.0787
"BNB",0.0912
"COB",0.1701
"B2B",0.2411
"FUN",0.1099
"WILD",0.2967
"NXC",0.1032
"RLC",0.1424
"RHOC",0.1123
"EVX",0.1106
"PAY",0.0901
"EDO",0.1048
"CTR",0.1111
"HMQ",0.0976
"DENT",0.1607
"TIME",0.1382
"SPF",0.1775
"ARC",0.1188
"SNOV",0.1573
"STORJ",0.0989
"ADX",0.1048
"DCN",0.136
"TAAS",0.0689
"QAU",0.1104
"NIO",0.2172
"STEEM",0.1132
"LUN",0.1634
"WABI",0.1084
